,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc,synopsis
21002,Sleepaway Camp IV: The Survivor,1992,Missing,Missing,insufficient sample,7.0,Missing,Missing,"In the forest, she is grabbed by two large hands. Expecting the hands to be Jack's, she is surprised to meet Eugene (John Gallhager), a large, oafish hunter. After the enraged Alison explains her situation with Jack to him, Eugene vows to help her ""take care"" of him. Eugene has reasons of his own for disliking Jack - being a hunter. Jack has always tried to keep him off the property which Eugene's family has hunted on for generations."
21003,Meet Prince Charming,2002,insufficient sample,2.0,insufficient sample,3.0,Missing,Missing,"Jonathan 'Jack' Harris is a waiter, who hopes to start a newspaper called The Tribeca Times, after the part of Manhattan where he lives, and while struggling to find advertisers and stories decides to do one on Internet dating services, so he joins one and seems to have found a great match, maybe even a soul-mate. He doesn't know it's actually his apartment block neighbor, 29-year old magazine editor Samantha Feld -who only rolled into the thing because her friend and co-worker Jen thinks she needs a man and threw a party at Samantha's place- with whom he clashed from the start in daily life as they consider each-other noisy and inconsiderate. Yet, when they meet after e-mail bliss together and nothing but failed dates with others..."
21005,The Decline of Western Civilization Part III,1998,Missing,Missing,insufficient sample,2.0,Missing,Missing,The Decline of Western Civilization III is a 1998 documentary film directed by Penelope Spheeris that chronicles the 'gutter punk' lifestyle of homeless teens in Los Angeles.
21006,The Hitcher II: I've Been Waiting,2003,Missing,Missing,insufficient sample,4.0,Missing,Missing,A sadistic serial killer terrorizes a couple driving on a rural highway in Texas while killing numerous people and framing them for his killings.
21007,The Marriage Chronicles,2012,Missing,Missing,insufficient sample,4.0,Missing,Missing,"Three couples trying to spice up their marriages go on a retreat run by a sexy psychologist and her handsome husband at a tranquil Malibu estate. Encouraged to share their most innermost feelings, the fun begins when secrets are revealed and hearts are challenged. How far will each couple go to save their marriage? (Redbox.com)"
21010,Secrets of a Psychopath,2015,insufficient sample,3.0,insufficient sample,3.0,Missing,Missing,Two siblings lure unsuspecting victims to their house through a dating site for games and slaughter.
21013,Live from New York!,2015,Missing,Missing,insufficient sample,9.0,Missing,Missing,"Saturday Night Live has been reflecting and influencing life in the United States for forty years. LIVE FROM NEW YORK! goes deep inside this television phenomenon exploring the laughter that pulses through American politics, tragedy, and pop culture."
21014,Junun,2015,insufficient sample,2.0,insufficient sample,1.0,Missing,Missing,"Paul Thomas Anderson joined his close friend and collaborator Jonny Greenwood on a trip to Rajasthan in northwest India, where they were hosted by the Maharaja of Jodhpur, and he brought his camera with him. Their destination was the 15th-century Mehrangarh Fort, where Greenwood was recording an album with Israeli composer Shye Ben Tzur and an amazing group of musicians."
21015,Call Me Lucky,2015,insufficient sample,1.0,0.09090909090909091,11.0,Missing,Missing,"An inspiring, triumphant and wickedly funny portrait of one of comedy’s most enigmatic and important figures, CALL ME LUCKY tells the story of Barry Crimmins, a beer-swilling, politically outspoken and whip-smart comic whose efforts in the 70s and 80s fostered the talents of the next generation of standup comedians. But beneath Crimmins’ gruff, hard-drinking, curmudgeonly persona lay an undercurrent of rage stemming from his long-suppressed and horrific abuse as a child – a rage that eventually found its way out of the comedy clubs and television shows and into the political arena."
21016,Blood Punch,2014,insufficient sample,1.0,insufficient sample,4.0,Missing,Missing,"Milton, a college dropout, was only supposed to cook meth for one day. Broken out of rehab by a brash young woman and her trigger-happy (""ex"") boyfriend and driven to a remote cabin the woods, Milton finds himself drawn into a dangerous love triangle gone haywire. The couple's deadpan half-truths spin around Milton like a song on repeat. They seem to read him like an open book, until a mysterious message opens his eyes to his cursed existence. With unlimited ammunition, any hunting tool they could desire, and an ever-growing body count, for what did Milton really sign up?"
21020,Code Rush,2000,Missing,Missing,Missing,Missing,Missing,Missing,"Life on the edge in Silicon Valley - home of high tech, high anxiety, and high stakes. Take a revealing look at Netscape Communications engineers as they set out boldly and brazenly to save their company. A virtual panorama of human drama and techno-thrills, Code Rush puts you at the center of the high-intensity clash of science, engineering, and commerce."
21021,Hotel Meina,2007,insufficient sample,2.0,insufficient sample,1.0,Missing,Missing,"How will the Germans react to the armistice of the 8th of September 1943, due to which Italy betrays them and sides with the allied forces? This is the distressing questions that a group of 16 Italian - Greek Jews evacuated at The Meina Hotel ask themselves."
21022,The Hive,2015,Missing,Missing,Missing,Missing,Missing,Missing,An amnesiac must reach back into his mind for memories that will help him save the love of his life before a virus completely takes over.
21023,Billy Elliot: The Musical,2014,insufficient sample,3.0,Missing,Missing,Missing,Missing,"Billy Elliot the Musical is a musical based on the 2000 film Billy Elliot. The music is by Elton John, and the book and lyrics are by Lee Hall, who wrote the film's screenplay. In June 2014, it was announced that the musical would be screened and broadcast live to cinemas around the UK and the world. On 28 September, the matinee of the musical was broadcast as it was being filmed at the Victoria Palace Theatre to cinemas around the UK and other countries with further encore screenings of that same performance on other dates. Billy was played by Elliott Hanna. Liam Mower, one of the three actors who originated the title role, returned to play the role of Older Billy. In addition, 25 past and present actors to have played the title role on the West End performed a specially-choreographed dance number at the finale. The live broadcast topped the UK and Ireland box office the weekend it was broadcast, a first for an event cinema release, beating The Equalizer with £1.9m."
21024,Ready? OK!,2008,Missing,Missing,insufficient sample,3.0,Missing,Missing,"When 10-year-old Joshua (Lurie Poston) decides to join the cheerleading squad at his Catholic school, he faces an uphill battle -- and opposition from his single mom, Andy (Carrie Preston), who struggles to understand her Hollywood musical- and pom-pom-loving son. With the help of sympathetic neighbor Charlie (Michael Emerson), Andy attempts to embrace her son for who he is, not who she wants him to be. James Vasquez directs this touching comedy."
21025,Honeyspider,2014,Missing,Missing,Missing,Missing,Missing,Missing,"It's Halloween day in 1989 and college student Jackie Blue wants to enjoy a quiet birthday in the midst of a chaotic semester at school. Her friend Amber has other ideas and persuades Jackie to come to the annual Halloween party on campus after her shift at the local movie theater. As the night unfolds, it becomes apparent that Jackie will get more excitement than she bargained for on her birthday this year."
21026,TimeScapes,2012,Missing,Missing,Missing,Missing,Missing,Missing,"Stunning slow-motion and timelapse cinematography of the landscapes, people and wildlife of the American South West."
21027,Peace Officer,2015,Missing,Missing,Missing,Missing,Missing,Missing,"Peace Officer is a documentary about the increasingly militarized state of American police as told through the story of Dub Lawrence, a former sheriff who established his rural state's first SWAT team only to see that same unit kill his son-in-law in a controversial standoff 30 years later. Driven by an obsessed sense of mission, Dub uses his own investigation skills to uncover the truth in this and other recent officer-involved shootings in his community, while tackling larger questions about the changing face of peace officers nationwide."
21028,"Ã€ trois, on y va",2015,Missing,Missing,Missing,Missing,Missing,Missing,"Charlotte is cheating on Micha with Mélodie. Not suspecting a thing, yet feeling neglected, Micha in turn cheats on Charlotte.  But also with Mélodie. For Mélodie, things are topsy-turvy. She lies to both of them. She is privy to each of their lies. And is in love with both of them at the same time."
21029,Difret,2014,insufficient sample,2.0,Missing,Missing,Missing,Missing,"Three hours outside of Addis Ababa, a bright 14-year-old girl is on her way home from school when men on horses swoop in and kidnap her. The brave Hirut grabs a rifle and tries to escape, but ends up shooting her would-be husband. In her village the practice of abduction into marriage is common and one of Ethiopia’s oldest traditions.  Meaza Ashenafi, an empowered and tenacious young lawyer, arrives from the city to represent Hirut and argue that she acted in self defense. Meaza boldly embarks on a collision course between enforcing civil authority and abiding by customary law, risking the ongoing work of her women’s legal aid practice to save Hirut’s life."
21030,Deep Dark,2015,Missing,Missing,Missing,Missing,Missing,Missing,"Fantasy - A failed sculptor discovers a strange, talking hole in the wall. It has the power to fulfill his wildest dreams...and become his worst nightmare. -  Mary McDonald-Lewis, Don Alder, Sean McGrath"
21031,The Party Never Stops: Diary of a Binge Drinker,2007,insufficient sample,5.0,Missing,Missing,Missing,Missing,"A promising track star, 18 year old Jesse Brenner struggles with binge drinking during her freshman year of college."
21032,Teenage Bank Heist,2012,insufficient sample,3.0,insufficient sample,3.0,Missing,Missing,"Cassie works as a teller at the bank where her mother is the branch manager. When the bank is robbed, Cassie is taken hostage. She soon finds out that the bank robbers are teenage girls, one of whom is her best friend, Abbie. In this propulsive real time, ticking clock thriller, as the girls are on the run from the police, we learn that the real motivation behind the robbery is something unexpected."
21034,"Just, Melvin: Just Evil",2000,Missing,Missing,Missing,Missing,Missing,Missing,A documentary about a man who molested generations of his children and stepchildren.
21035,Hacker's Game,2015,Missing,Missing,insufficient sample,3.0,Missing,Missing,"A love story between two hackers, Soyan and Loise. Like many other hackers, Soyan works for a company he previously hacked."
21037,Mad As Hell,2014,insufficient sample,2.0,Missing,Missing,Missing,Missing,"MAD AS HELL follows Cenk Uygur's transformation from unknown talk show host on local Public Access TV to an internet sensation with his online news show ""The Young Turks,"" which has amassed over one billion views on YouTube. Once Cenk ventures from the internet into national television and lands the 6 PM time slot on MSNBC, his uncensored brand of journalism is compromised and Cenk becomes the nexus in the battle between new and old media."
21039,The Inhabitants,2015,insufficient sample,2.0,insufficient sample,1.0,Missing,Missing,A young couple gets more than they bargained for when they buy an historic bed and breakfast in New England only to discover that the old house is hiding a dark secret within its walls.
