,title,year,crew_pct_women,crew_n,cast_pct_women,cast_n,bechdel_score,bechdel_desc,synopsis
23000,The Sun Behind the Clouds: Tibet's Struggle for Freedom,2010,Missing,Missing,Missing,Missing,Missing,Missing,"Fifty years after the fall of his country, can the Dalai Lama make a breakthrough in his efforts to find a solution to the Tibet question?"
23001,The Boxcar Children,2014,insufficient sample,1.0,Missing,Missing,Missing,Missing,"Four orphaned and homeless siblings happen upon an abandoned boxcar, which, they furnish with all the comforts of home. Fearful that they will be sent to live with their grandfather they have never met, the children keep their new home a secret."
23002,Goltzius and the Pelican Company,2012,insufficient sample,3.0,insufficient sample,8.0,Missing,Missing,"Goltzius and the Pelican Company tells the story of Hendrik Goltzius, a late 16th century Dutch printer and engraver of erotic prints. A contemporary of Rembrandt and, indeed, more celebrated during his life, Goltzius seduces the Margrave of Alsace into paying for a printing press to make and publish illustrated books. In return, he promises him an extraordinary book of pictures of illustrating the Old Testament’s biblical stories. Erotic tales of Lot and his daughters, David and Bathsheba, Samson and Deliah and John the Baptist and Salome. To tempt the Margrave further, Goltzius and his printing company will offer to perform dramatisations of these erotic stories for his court."
23003,Black Out,2012,Missing,Missing,insufficient sample,3.0,Missing,Missing,
23004,Regular Show: The Movie,2015,insufficient sample,3.0,Missing,Missing,Missing,Missing,"To save the universe, and their friendship, Mordecai and Rigby must defeat an evil volleyball coach."
23006,Eddie: The Sleepwalking Cannibal,2012,insufficient sample,4.0,insufficient sample,10.0,Missing,Missing,A once-famous painter rediscovers inspiration when he befriends a sleepwalking cannibal.
23009,Bhagam Bhag,2006,Missing,Missing,Missing,Missing,Missing,Missing,"Champak Chaturvedi runs a theatrical troupe in India. He hires two men, Bunty - a graduate in Arts, and Babla- who cannot read nor write English. One has to play the role of the play's hero, while one the villain. Both men end up squabbling with each other, as both want the hero's part. Then Champak finds out that Bunty has molested the play's heroine, Anjali, and punishes him. The group gets a contract to stage 30 plays in Britain, however, on the day of the departure, Anjali opts out, leaving Champak no alternative but to travel without a heroine, but hoping to recruit one while in Britain. Upon arrival, Babla sets about to find a suitable heroine from the Indian population, but Bunty beats him to it and recruits a woman named Munni."
23014,Cosas insignificantes,2008,insufficient sample,5.0,insufficient sample,5.0,Missing,Missing,"Esmeralda is a teenager with an unusual obsession: she collects lost, forgotten or discarded objects from people she doesn't know and keeps them in a box beneath her bed. This is the tale of three objects in the box and the people behind them, all in some way incapable of relating to the person they love most. It is also a tale of the box itself, and of how Esmeralda learns to open it, to feel and to hoard the most valuable thing of all: human relations."
23015,El rey de los huevones,2006,insufficient sample,1.0,Missing,Missing,Missing,Missing,Anselmo is a fair man forced to live in an unfair world. His innocence will lead him to get involved in dangerous situations that will make him wonder if he does need a bit of evil to achieve happiness.
23016,Scrambled Beer,2007,Missing,Missing,insufficient sample,3.0,Missing,Missing,"After moving into a new house with his friend, Vladimir starts to notice that he awakes every day in a different week as if he has traveled trough time. Could it be the popular local drink -- beer with eggs?"
23018,Projet-M,2014,Missing,Missing,Missing,Missing,Missing,Missing,"Four astronauts have to stay 1000 days in a space station around Earth in order to prove that a trip to Europa, one of Jupiter's moon, is possible. The experience goes well until something happens on earth."
23020,Thunder and Mud,1990,insufficient sample,1.0,insufficient sample,1.0,Missing,Missing,An entertaining combination of heavy-metal rockers and female mud wrestlers hosted by Jessica Hahn.
